satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
0.43,0.53,little,131,middle,0,1,0,IT,low
0.1,0.84,many,286,long,0,1,0,product_mng,low
0.37,0.5,little,135,middle,0,1,0,product_mng,low
0.37,0.51,little,153,middle,0,1,0,product_mng,low
0.4,0.56,little,149,middle,0,1,0,accounting,low
0.9,0.97,many,258,long,0,1,0,accounting,low
0.44,0.54,little,149,middle,0,1,0,hr,low
0.85,0.95,many,236,long,0,1,0,hr,low
0.92,0.99,many,255,long,0,1,0,sales,low
0.11,0.83,many,244,long,0,1,0,accounting,low
0.42,0.56,little,134,middle,0,1,0,support,low
0.83,0.85,many,255,long,0,1,0,management,low
0.37,0.48,little,159,middle,0,1,0,sales,low
0.87,0.98,many,248,long,0,1,0,sales,low
0.11,0.81,many,266,long,1,1,0,sales,medium
0.11,0.84,many,287,long,0,1,0,accounting,medium
0.82,0.97,many,263,long,0,1,0,hr,medium
0.44,0.56,little,131,middle,0,1,0,hr,medium
0.11,0.78,many,260,long,0,1,0,hr,medium
0.84,0.93,many,251,long,0,1,0,technical,medium
0.11,0.95,many,286,long,0,1,0,technical,medium
0.45,0.53,little,129,middle,0,1,0,technical,high
0.44,0.51,little,127,middle,0,1,0,technical,medium
0.09,0.96,many,296,long,0,1,0,technical,low
0.81,0.95,many,238,long,0,1,0,technical,low
0.82,0.81,many,233,long,1,1,0,support,low
0.27,0.56,middle,301,middle,0,1,0,support,low
0.83,0.92,many,267,long,0,1,0,support,low
0.36,0.48,little,137,middle,0,1,0,technical,low
0.41,0.49,little,146,middle,0,1,0,IT,low
0.74,0.84,many,249,long,0,1,0,product_mng,medium
0.45,0.55,little,151,middle,0,1,0,IT,medium
0.11,0.81,many,287,long,0,1,0,sales,low
0.1,0.93,many,305,long,0,1,0,technical,medium
0.11,0.95,many,300,long,0,1,0,management,medium
0.43,0.47,little,135,middle,0,1,0,sales,low
0.61,0.47,little,253,middle,0,1,0,sales,low
0.11,0.91,many,287,long,0,1,0,sales,low
0.38,0.57,little,140,middle,0,1,0,sales,low
0.11,0.85,many,302,long,0,1,0,sales,low
0.09,0.98,many,271,long,0,1,0,sales,low
0.37,0.47,little,141,middle,0,1,0,technical,medium
0.81,1,many,253,long,0,1,0,technical,low
0.11,0.84,many,264,long,0,1,0,technical,medium
0.91,0.91,many,262,long,0,1,0,support,low
0.41,0.55,little,154,middle,0,1,0,support,low
0.37,0.54,little,149,middle,0,1,0,support,low
0.4,0.56,little,131,middle,0,1,0,IT,low
0.56,0.71,many,296,short,0,1,0,IT,medium
0.77,0.93,many,231,long,0,1,0,hr,medium
0.44,0.45,little,156,middle,0,1,0,hr,medium
0.38,0.46,little,145,middle,0,1,0,hr,medium
0.75,0.9,many,256,long,0,1,0,support,low
0.1,0.97,many,247,long,0,1,0,management,medium
0.45,0.55,little,148,middle,0,1,0,sales,low
0.84,1,many,261,long,0,1,0,sales,low
0.42,0.56,little,133,middle,0,1,0,sales,low
0.45,0.46,little,128,middle,0,1,0,sales,low
0.46,0.57,little,139,middle,0,1,0,sales,low
0.1,0.87,many,250,long,0,1,0,sales,low
0.74,1,many,275,long,0,1,0,sales,low
0.92,0.93,many,240,long,0,1,0,sales,low
0.45,0.54,little,142,middle,0,1,0,hr,medium
0.91,0.97,many,233,long,0,1,0,hr,medium
0.11,0.9,many,264,long,0,1,0,technical,medium
0.42,0.53,middle,199,long,0,1,0,technical,medium
0.09,0.96,many,268,long,0,1,0,technical,medium
0.1,0.94,many,287,long,0,1,0,technical,medium
0.4,0.46,little,143,middle,0,1,0,technical,high
0.42,0.51,little,136,middle,0,1,0,technical,medium
0.74,0.92,many,261,long,0,1,0,technical,medium
0.41,0.57,little,160,middle,0,1,0,support,low
0.1,0.84,many,309,long,0,1,0,support,low
0.09,0.94,many,283,long,0,1,0,IT,low
0.44,0.46,little,143,middle,0,1,0,IT,low
0.85,0.98,many,248,long,0,1,0,product_mng,medium
0.1,0.87,many,286,long,0,1,0,IT,medium
0.09,0.97,many,254,long,1,1,0,RandD,medium
0.86,0.93,many,223,long,0,1,0,RandD,medium
0.41,0.48,little,136,middle,0,1,0,marketing,medium
0.8,0.53,middle,255,long,0,1,0,technical,high
0.09,0.95,many,292,long,0,1,0,sales,medium
0.42,0.56,little,149,middle,0,1,0,sales,low
0.45,0.57,little,134,middle,0,1,0,sales,low
0.37,0.49,little,151,middle,0,1,0,sales,low
0.77,0.87,many,242,long,0,1,0,sales,low
0.42,0.54,little,143,middle,1,1,0,sales,low
0.38,0.49,little,135,middle,0,1,0,accounting,low
0.1,0.83,many,276,long,0,1,0,accounting,low
0.1,0.82,many,244,long,0,1,0,technical,medium
0.44,0.48,little,143,middle,0,1,0,technical,medium
0.11,0.87,many,282,long,0,1,0,technical,low
0.11,0.97,many,289,long,0,1,0,support,medium
0.44,0.48,little,146,middle,0,1,0,support,low
0.88,1,many,219,long,1,1,0,technical,low
0.44,0.54,little,151,middle,0,1,0,management,low
0.39,0.51,little,129,middle,0,1,0,IT,low
0.74,0.82,many,239,long,0,1,0,IT,low
0.09,0.8,many,301,long,0,1,0,IT,medium
0.1,0.84,many,246,long,0,1,0,hr,medium
0.87,1,many,261,long,1,1,0,technical,medium
0.45,0.54,little,129,middle,0,1,0,marketing,high
0.89,0.92,many,237,long,0,1,0,sales,medium
0.37,0.5,little,141,middle,0,1,0,sales,low
0.85,0.82,many,270,long,0,1,0,sales,low
0.41,0.47,little,138,middle,0,1,0,sales,low
0.1,0.9,many,281,long,0,1,0,sales,low
0.46,0.48,little,141,middle,1,1,0,sales,low
0.43,0.55,little,136,middle,0,1,0,sales,low
0.37,0.53,little,131,middle,0,1,0,sales,low
0.4,0.57,little,160,middle,0,1,0,accounting,low
0.79,0.58,middle,294,long,0,1,0,hr,low
0.75,0.97,many,243,long,0,1,0,technical,medium
0.39,0.49,little,129,middle,0,1,0,technical,medium
0.87,0.9,many,258,long,0,1,0,support,low
0.1,0.8,many,264,long,0,1,0,technical,low
0.37,0.46,little,157,middle,0,1,0,IT,low
0.77,0.98,many,259,long,0,1,0,product_mng,low
0.84,0.94,many,222,long,0,1,0,product_mng,low
0.11,0.79,many,292,long,0,1,0,IT,low
0.09,0.95,many,256,long,0,1,0,marketing,medium
0.81,0.97,many,243,long,0,1,0,support,medium
0.09,0.9,many,296,long,0,1,0,technical,medium
0.1,0.55,little,247,long,0,1,0,sales,medium
0.44,0.49,little,145,middle,0,1,0,sales,low
0.41,0.46,little,156,middle,1,1,0,sales,low
0.72,0.85,many,244,long,0,1,0,sales,low
0.1,0.9,many,286,long,0,1,0,sales,low
0.11,0.89,many,260,long,0,1,0,sales,low
0.38,0.56,little,154,middle,0,1,0,sales,low
0.82,0.92,many,225,long,0,1,0,sales,low
0.43,0.48,little,153,middle,0,1,0,accounting,low
0.73,0.97,many,235,long,0,1,0,hr,low
0.51,0.83,many,249,long,0,1,0,technical,medium
0.37,0.51,little,132,middle,0,1,0,technical,medium
0.79,0.86,many,235,long,0,1,0,support,medium
0.78,0.89,many,274,long,0,1,0,support,medium
0.1,0.77,many,276,long,0,1,0,support,low
0.91,0.97,many,274,long,0,1,0,technical,low
0.1,0.92,many,258,long,0,1,0,technical,low
0.43,0.57,little,127,middle,0,1,0,IT,low
0.11,0.82,many,270,long,0,1,0,product_mng,low
0.11,0.87,many,278,long,0,1,0,sales,low
0.86,0.98,middle,158,long,0,1,0,sales,low
0.09,0.92,many,254,long,0,1,0,sales,medium
0.87,1,many,228,long,0,1,0,support,medium
0.1,0.83,many,278,long,0,1,0,marketing,medium
0.43,0.48,little,135,middle,0,1,0,sales,medium
0.38,0.45,little,156,middle,0,1,0,sales,medium
0.45,0.5,little,147,middle,0,1,0,sales,low
0.79,0.93,many,226,long,0,1,0,sales,low
0.42,0.48,little,140,middle,0,1,0,sales,low
0.64,0.9,many,252,short,0,1,0,sales,low
0.4,0.55,little,159,middle,0,1,0,sales,low
0.4,0.51,little,144,middle,0,1,0,accounting,low
0.43,0.47,little,131,middle,0,1,0,accounting,low
0.43,0.46,little,149,middle,0,1,0,technical,medium
0.45,0.46,little,153,middle,1,1,0,technical,medium
0.43,0.49,little,160,middle,0,1,0,technical,medium
0.38,0.45,little,129,middle,0,1,0,support,medium
0.11,0.87,many,257,long,0,1,0,support,medium
0.44,0.49,little,154,middle,0,1,0,support,low
0.11,0.78,many,245,long,0,1,0,technical,low
0.86,0.84,many,246,long,0,1,0,IT,low
0.38,0.49,little,145,middle,0,1,0,IT,low
0.46,0.45,little,138,middle,0,1,1,IT,low
0.43,0.52,little,150,middle,0,1,0,product_mng,low
0.66,0.93,many,253,long,0,1,0,product_mng,low
0.37,0.48,little,160,middle,0,1,0,product_mng,low
0.39,0.54,little,127,middle,0,1,0,sales,low
0.41,0.55,little,151,middle,0,1,0,sales,low
0.1,0.9,many,290,long,0,1,0,sales,low
0.09,0.93,many,249,long,0,1,0,sales,low
0.75,0.81,many,227,long,0,1,0,technical,medium
0.44,0.54,little,127,middle,0,1,0,management,medium
0.11,0.9,many,247,long,0,1,0,sales,medium
0.91,0.96,many,232,long,0,1,0,sales,low
0.78,0.93,many,225,long,0,1,0,sales,low
0.78,0.81,middle,222,short,0,1,0,sales,low
0.9,0.83,many,259,long,0,1,0,accounting,low
0.45,0.49,little,151,middle,0,1,0,hr,low
0.43,0.5,little,161,middle,0,1,0,technical,low
0.85,0.82,many,264,long,0,1,0,technical,medium
0.81,0.95,many,266,long,0,1,0,technical,medium
0.45,0.54,little,138,middle,0,1,0,technical,medium
0.11,0.97,many,310,long,0,1,0,support,medium
0.38,0.49,little,127,middle,0,1,0,support,medium
0.11,0.93,many,284,long,0,1,0,technical,low
0.11,0.86,many,308,long,0,1,0,IT,low
0.43,0.56,little,133,middle,0,1,0,RandD,low
0.81,0.9,many,238,long,0,1,0,marketing,low
0.66,0.47,many,156,short,0,1,0,management,medium
0.44,0.51,little,146,middle,0,1,0,marketing,medium
0.1,0.84,many,253,long,0,1,0,marketing,medium
0.79,0.94,many,227,long,0,1,0,sales,medium
0.82,0.89,many,217,long,0,1,0,sales,high
0.45,0.52,little,160,middle,0,1,0,sales,low
0.11,0.78,many,303,long,0,1,0,sales,medium
0.79,1,many,218,long,0,1,0,sales,low
0.43,0.48,little,144,middle,0,1,0,sales,low
0.39,0.55,little,146,middle,0,1,0,sales,low
0.41,0.46,little,128,middle,0,1,0,accounting,low
0.42,0.56,little,128,middle,0,1,0,accounting,low
0.49,0.63,many,265,middle,0,1,0,technical,low
0.38,0.47,little,143,middle,0,1,0,technical,low
0.11,0.79,many,294,long,0,1,0,technical,medium
0.11,0.83,many,295,long,0,1,0,support,medium
0.43,0.57,little,131,middle,1,1,0,support,medium
0.84,0.83,many,238,long,0,1,0,IT,low
0.45,0.46,little,142,middle,0,1,0,product_mng,low
0.38,0.55,little,145,middle,0,1,0,support,low
0.82,0.86,many,264,long,0,1,0,management,medium
0.37,0.45,little,160,middle,0,1,0,marketing,medium
0.4,0.48,little,138,middle,0,1,0,marketing,medium
0.43,0.47,little,137,middle,0,1,0,marketing,medium
0.11,0.8,many,243,long,0,1,0,sales,medium
0.32,0.58,many,271,long,0,1,0,sales,high
0.36,0.52,little,157,middle,0,1,0,technical,low
0.1,0.91,many,262,long,1,1,0,technical,low
0.1,0.94,many,281,long,0,1,0,technical,medium
0.39,0.51,little,132,middle,0,1,0,support,medium
0.73,0.83,many,270,long,1,1,0,support,medium
0.41,0.45,little,150,middle,0,1,0,support,medium
0.11,0.74,many,290,long,0,1,0,technical,medium
0.36,0.54,little,136,middle,0,1,0,IT,low
0.75,0.86,many,260,long,0,1,0,IT,low
0.36,0.5,little,158,middle,0,1,0,RandD,low
0.1,0.79,many,249,long,0,1,0,RandD,low
0.45,0.57,little,151,middle,0,1,0,accounting,low
0.38,0.46,little,144,middle,0,1,0,management,low
0.42,0.5,little,141,middle,0,1,0,sales,medium
0.54,0.56,many,260,middle,0,1,0,sales,medium
0.43,0.53,little,152,middle,0,1,0,sales,medium
0.39,0.48,little,138,middle,0,1,0,sales,low
0.74,0.87,many,258,long,0,1,0,accounting,low
0.8,0.95,middle,146,long,0,1,0,hr,low
0.36,0.48,little,145,middle,0,1,0,hr,low
0.42,0.57,little,159,middle,0,1,0,hr,low
0.1,0.97,many,307,long,0,1,0,technical,low
0.11,0.93,many,295,middle,0,1,0,technical,low
0.09,0.97,many,268,long,0,1,0,support,medium
0.63,0.94,middle,179,short,0,1,0,support,medium
0.86,1,many,250,long,0,1,0,support,medium
0.7,0.93,little,310,middle,0,1,0,product_mng,low
0.87,0.83,many,267,long,0,1,0,RandD,low
0.43,0.52,little,142,middle,0,1,0,RandD,low
0.78,0.87,many,243,long,0,1,0,technical,low
0.45,0.54,little,154,middle,0,1,0,marketing,low
0.8,0.95,many,244,long,0,1,0,sales,medium
0.87,0.88,many,231,long,0,1,0,sales,medium
0.83,0.94,many,267,long,0,1,0,sales,medium
0.77,0.83,many,245,long,0,1,0,sales,medium
0.77,1,many,272,long,0,1,0,sales,medium
0.9,0.86,many,254,long,0,1,0,sales,high
0.91,0.9,many,250,long,0,1,0,sales,medium
0.89,0.91,many,260,long,0,1,0,sales,low
0.42,0.48,little,132,middle,0,1,0,hr,low
0.11,0.83,many,262,long,0,1,0,hr,low
0.11,0.89,many,254,long,0,1,0,technical,low
0.44,0.46,little,149,middle,0,1,0,technical,low
0.11,0.86,many,279,long,0,1,0,support,medium
0.11,0.91,many,278,long,0,1,0,support,medium
0.39,0.57,little,158,middle,0,1,0,technical,high
0.37,0.47,little,149,middle,0,1,0,IT,medium
0.46,0.51,little,155,middle,0,1,0,product_mng,low
0.11,0.87,many,291,long,0,1,0,product_mng,low
0.86,0.91,many,265,long,0,1,0,IT,low
0.09,0.92,many,303,long,0,1,0,sales,low
0.82,0.83,many,245,long,1,1,0,sales,low
0.46,0.48,little,129,middle,0,1,0,sales,low
0.1,0.91,many,286,long,0,1,0,marketing,low
0.37,0.49,little,153,middle,0,1,0,accounting,low
0.8,0.95,many,217,long,0,1,0,support,low
0.83,0.95,many,258,long,0,1,0,technical,low
0.77,0.92,many,255,long,0,1,0,marketing,low
0.79,0.96,many,234,long,0,1,0,marketing,low
0.39,0.55,little,152,middle,1,1,0,sales,medium
0.39,0.53,little,131,middle,0,1,0,sales,medium
0.42,0.52,little,141,middle,1,1,0,sales,medium
0.11,0.95,many,269,long,0,1,0,sales,medium
0.36,0.73,many,276,short,0,1,0,sales,medium
0.78,0.99,many,241,long,0,1,0,sales,medium
0.11,0.93,many,288,long,0,1,0,sales,high
0.09,0.91,many,248,long,0,1,0,sales,low
0.11,0.91,many,272,long,0,1,0,accounting,low
0.78,0.71,many,296,middle,0,1,0,hr,low
0.38,0.5,little,151,middle,1,1,0,hr,low
0.85,0.89,many,221,long,0,1,0,technical,low
0.45,0.46,little,146,middle,0,1,0,technical,low
0.39,0.5,little,127,middle,0,1,0,technical,low
0.11,0.77,many,264,long,0,1,0,technical,low
0.46,0.45,little,143,middle,0,1,0,technical,low
0.43,0.49,little,135,middle,0,1,0,technical,low
0.1,0.93,many,299,long,0,1,0,technical,low
0.09,0.8,many,279,long,0,1,0,technical,low
0.21,0.58,many,203,long,0,1,0,support,medium
0.83,1,many,263,long,0,1,0,technical,medium
0.81,0.98,many,237,long,0,1,0,IT,medium
0.09,0.87,many,278,long,0,1,0,IT,low
0.74,0.97,many,238,long,0,1,0,IT,low
0.44,0.56,little,127,middle,0,1,0,IT,low
0.76,0.95,many,259,long,0,1,0,RandD,low
0.36,0.52,little,137,middle,0,1,0,marketing,low
0.75,0.89,many,228,long,0,1,0,support,low
0.09,0.84,many,301,long,0,1,0,technical,low
0.39,0.46,little,127,middle,0,1,0,management,low
0.36,0.47,little,129,middle,0,1,0,sales,medium
0.38,0.47,little,152,middle,0,1,0,sales,medium
0.1,0.85,many,297,long,0,1,0,sales,high
0.82,0.85,many,274,long,0,1,0,sales,low
0.1,0.77,many,280,long,0,1,0,sales,medium
0.1,0.93,many,288,long,0,1,0,sales,medium
0.41,0.54,little,138,middle,0,1,0,accounting,low
0.88,0.92,many,225,long,0,1,0,accounting,low
0.43,0.57,little,151,middle,1,1,0,hr,low
0.41,0.48,little,126,middle,0,1,0,technical,low
0.86,0.98,many,270,long,0,1,0,technical,low
0.38,0.57,little,131,middle,0,1,0,support,medium
0.45,0.53,little,131,middle,0,1,0,support,medium
0.78,1,many,267,long,0,1,0,technical,medium
0.81,0.81,many,218,long,1,1,0,IT,low
0.42,0.57,little,134,middle,0,1,0,product_mng,medium
0.87,0.81,many,304,long,0,1,0,product_mng,low
0.39,0.51,little,139,middle,0,1,0,IT,low
0.1,0.9,many,272,long,0,1,0,RandD,low
0.41,0.52,little,132,middle,0,1,0,RandD,low
0.72,1,little,240,short,0,1,0,RandD,low
0.44,0.55,little,137,middle,0,1,0,RandD,low
0.38,0.5,little,139,middle,0,1,0,RandD,low
0.46,0.52,little,148,middle,0,1,0,RandD,low
0.4,0.49,little,149,middle,0,1,0,marketing,low
0.89,0.89,many,262,long,0,1,0,accounting,low
0.46,0.48,little,161,middle,0,1,0,technical,low
0.09,0.94,many,266,long,0,1,0,sales,medium
0.56,0.75,many,236,short,0,1,0,sales,medium
0.1,0.92,many,272,long,0,1,0,sales,medium
0.11,0.81,many,260,long,0,1,0,sales,medium
0.62,0.89,middle,131,long,0,1,0,sales,low
0.76,0.82,many,254,long,1,1,0,sales,medium
0.42,0.47,little,157,middle,0,1,0,accounting,low
0.42,0.47,little,130,middle,0,1,0,hr,low
0.09,0.86,many,297,long,0,1,0,hr,low
0.11,0.89,many,257,long,0,1,0,technical,low
0.44,0.46,little,154,middle,0,1,0,technical,low
0.51,0.79,many,134,middle,0,1,0,technical,low
0.84,0.89,many,245,long,1,1,0,support,medium
0.79,0.97,many,243,long,0,1,0,support,medium
0.83,0.95,many,221,long,0,1,0,technical,medium
0.1,0.79,many,271,long,0,1,0,technical,medium
0.45,0.5,little,157,middle,0,1,0,management,medium
0.46,0.46,little,145,middle,0,1,0,IT,high
0.41,0.52,little,147,middle,0,1,0,product_mng,medium
0.1,0.83,many,293,long,0,1,0,product_mng,low
0.41,0.52,little,132,middle,0,1,0,RandD,low
0.11,0.89,many,284,long,0,1,0,RandD,low
0.74,0.99,many,263,long,0,1,0,RandD,low
0.88,0.88,many,265,long,0,1,0,RandD,low
0.46,0.5,little,141,middle,0,1,0,sales,low
0.11,0.86,many,273,long,1,1,0,support,low
0.8,0.87,many,240,long,0,1,0,technical,low
0.9,0.84,many,221,long,0,1,0,marketing,low
0.1,0.88,many,263,long,0,1,0,marketing,low
0.11,0.91,many,279,long,0,1,0,sales,low
0.09,0.93,many,270,long,0,1,0,sales,medium
0.4,0.5,little,135,middle,0,1,0,sales,medium
0.4,0.49,little,151,middle,0,1,0,sales,medium
0.11,0.79,many,244,long,1,1,0,sales,medium
0.41,0.52,little,142,middle,0,1,0,sales,medium
0.45,0.51,little,156,middle,0,1,0,sales,medium
0.2,0.7,many,281,long,0,1,0,sales,medium
0.39,0.55,little,156,middle,0,1,0,sales,high
0.81,1,many,241,long,0,1,0,hr,low
0.75,0.87,many,246,long,0,1,0,technical,low
0.1,0.82,many,269,long,0,1,0,support,low
0.09,0.87,many,266,long,0,1,0,support,medium
0.43,0.52,little,156,middle,0,1,0,support,medium
0.36,0.5,little,147,middle,0,1,0,technical,medium
0.4,0.53,little,155,middle,0,1,0,IT,high
0.43,0.52,little,154,middle,1,1,0,product_mng,medium
0.73,0.87,many,252,long,0,1,0,RandD,low
0.46,0.52,little,131,middle,0,1,0,RandD,low
0.63,0.83,many,242,long,0,1,0,accounting,low
0.45,0.55,little,155,middle,0,1,0,technical,low
0.78,0.45,many,128,short,0,1,0,sales,low
0.42,0.53,little,142,middle,0,1,0,sales,low
0.46,0.57,little,145,middle,0,1,0,sales,low
0.1,0.92,many,279,long,0,1,0,sales,medium
0.1,0.89,many,272,long,0,1,0,sales,medium
0.4,0.65,little,296,long,0,1,0,sales,medium
0.39,0.56,little,130,middle,0,1,0,sales,medium
0.79,0.86,many,226,long,0,1,0,sales,medium
0.44,0.47,little,156,middle,1,1,0,sales,medium
0.09,0.93,many,271,long,0,1,0,accounting,medium
0.09,0.77,many,310,long,0,1,0,hr,low
0.11,0.87,many,254,long,0,1,0,hr,low
0.44,0.56,little,142,middle,0,1,0,hr,low
0.11,0.88,many,253,long,0,1,0,hr,low
0.11,0.97,many,260,long,0,1,0,technical,low
0.38,0.55,little,130,middle,0,1,0,technical,low
0.38,0.55,little,160,middle,0,1,0,technical,low
0.39,0.48,little,151,middle,0,1,0,support,low
0.4,0.51,little,160,middle,0,1,0,support,medium
0.44,0.52,little,128,middle,0,1,0,technical,medium
0.87,1,many,224,long,0,1,0,technical,medium
0.45,0.52,little,143,middle,0,1,0,IT,medium
0.1,0.68,middle,179,middle,0,1,0,IT,medium
0.82,0.9,many,248,long,0,1,0,RandD,low
0.38,0.55,little,131,middle,0,1,0,marketing,low
0.41,0.56,little,160,middle,0,1,0,sales,low
0.36,0.57,little,144,middle,0,1,0,technical,low
0.1,0.94,many,297,long,0,1,0,marketing,low
0.09,0.84,many,260,long,0,1,0,sales,low
0.4,0.57,little,152,middle,0,1,0,sales,low
0.41,0.54,little,135,middle,0,1,0,sales,low
0.83,0.92,many,235,long,0,1,0,sales,low
0.1,0.78,many,310,long,0,1,0,sales,medium
0.73,0.84,many,251,long,0,1,0,sales,medium
0.88,1,many,259,long,0,1,0,sales,medium
0.4,0.56,little,130,middle,1,1,0,sales,medium
0.82,0.82,many,220,long,0,1,0,sales,medium
0.9,0.83,many,266,long,0,1,0,sales,high
0.1,0.86,many,261,long,0,1,0,technical,low
0.1,0.96,many,274,long,0,1,0,technical,low
0.4,0.48,little,132,middle,0,1,0,technical,low
0.4,0.48,little,139,middle,0,1,0,technical,low
0.11,0.9,many,307,long,0,1,0,support,low
0.36,0.51,little,129,middle,0,1,0,support,low
0.6,0.85,middle,250,short,0,1,0,support,low
0.11,0.8,many,259,long,0,1,0,support,medium
0.73,0.91,many,247,long,0,1,0,support,medium
0.09,0.96,many,281,long,0,1,0,management,medium
0.4,0.46,little,132,middle,0,1,0,product_mng,low
0.4,0.53,little,152,middle,0,1,0,product_mng,medium
0.83,0.95,many,230,long,0,1,0,IT,medium
0.11,0.93,many,296,long,0,1,0,RandD,low
0.43,0.53,little,157,middle,0,1,0,RandD,low
0.44,0.51,little,145,middle,0,1,0,marketing,low
0.43,0.54,little,153,middle,0,1,0,sales,low
0.09,0.92,many,301,long,0,1,0,marketing,low
0.43,0.55,many,134,middle,0,1,0,marketing,low
0.43,0.54,little,130,middle,0,1,0,sales,low
0.37,0.46,little,156,middle,0,1,0,sales,low
0.39,0.48,little,151,middle,0,1,0,sales,low
0.45,0.54,little,131,middle,0,1,0,sales,medium
0.91,0.95,many,241,long,0,1,0,sales,medium
0.86,0.85,many,267,long,0,1,0,sales,medium
0.39,0.53,little,153,middle,0,1,0,sales,medium
0.1,0.87,many,265,long,0,1,0,sales,medium
0.4,0.54,little,156,middle,0,1,0,sales,medium
0.36,0.49,little,133,middle,0,1,0,hr,medium
0.09,0.91,many,275,long,0,1,0,hr,medium
0.42,0.46,little,135,middle,0,1,0,technical,low
0.41,0.56,little,154,middle,0,1,0,technical,low
0.11,0.78,many,247,long,0,1,0,technical,low
0.11,0.78,many,281,long,0,1,0,technical,low
0.1,0.93,many,258,long,0,1,0,technical,low
0.42,0.55,little,150,middle,0,1,0,technical,low
0.1,0.97,many,282,long,0,1,0,technical,low
0.77,0.98,many,238,long,0,1,0,support,low
0.1,0.88,many,282,long,0,1,0,support,low
0.1,0.89,many,253,long,0,1,0,support,low
0.84,0.85,many,260,long,0,1,0,support,low
0.81,0.97,many,230,long,0,1,0,support,low
0.42,0.47,little,137,middle,0,1,0,support,medium
0.36,0.56,little,140,middle,0,1,0,technical,medium
0.14,0.55,many,175,long,0,1,0,IT,medium
